time,open,high,low,close,volume
1782241800,1657.51,1658.5,1656.55,1657.47,228.04574639
1782242100,1657.36,1657.8,1655.48,1655.7,346.67929704
1782242400,1655.61,1657.77,1654.08,1655.85,540.16119365
1782242700,1655.86,1659.82,1655.07,1659.61,308.22895926
1782243000,1659.6,1660.72,1658.38,1658.82,327.27294996
1782243300,1658.9,1659.69,1656.36,1657.45,405.82844602
1782243600,1657.45,1657.5,1655.6,1655.63,383.68178045
1782243900,1655.71,1656.88,1654.7,1656.85,384.32618511
1782244200,1656.85,1661.88,1656.42,1661.2,882.23943182
1782244500,1661.15,1661.4,1659.01,1660.16,1203.07708081
1782244800,1660.28,1665.28,1660.25,1661.59,1030.90990378
1782245100,1661.53,1664.99,1661.51,1664.33,679.7358104
1782245400,1664.31,1664.45,1661.46,1661.93,488.14516703
1782245700,1661.93,1662.5,1660.7,1662.4,306.58177877
1782246000,1662.38,1663.1,1660.91,1661.08,313.97659653
1782246300,1661.1,1662.24,1659.98,1661.82,255.5954695
1782246600,1661.82,1661.82,1660.42,1660.59,143.25114344
1782246900,1660.59,1661.24,1659.69,1661.12,339.17809475
1782247200,1661.12,1661.75,1660.51,1660.81,74.80580291
1782247500,1660.8,1660.88,1660.0,1660.24,109.45816236
1782247800,1660.24,1661.98,1659.15,1660.15,329.58908528
1782248100,1660.15,1662.32,1660.14,1661.84,170.81584145
1782248400,1661.85,1665.36,1661.11,1663.57,313.75572496
1782248700,1663.46,1664.31,1662.36,1663.04,129.59330394
1782249000,1662.9,1663.52,1662.15,1662.87,94.28495695
1782249300,1662.87,1664.32,1662.09,1662.38,86.32473013
1782249600,1662.37,1664.09,1662.29,1663.85,74.82102179
1782249900,1663.84,1665.07,1662.88,1664.76,110.01364477
1782250200,1664.76,1665.22,1663.98,1664.33,48.93437824
1782250500,1664.41,1665.28,1663.33,1664.43,133.52254157
1782250800,1664.42,1665.32,1663.41,1664.68,104.90089949
1782251100,1664.68,1666.08,1664.57,1664.96,182.33566529
1782251400,1664.99,1666.32,1663.64,1663.7,170.31093696
1782251700,1663.7,1664.48,1663.7,1664.48,50.85439435
1782252000,1664.47,1666.75,1664.13,1666.2,234.11665159
1782252300,1666.2,1669.31,1666.05,1668.73,310.20850567
1782252600,1668.72,1669.84,1667.84,1669.08,137.62751737
1782252900,1669.06,1670.68,1667.92,1667.98,173.04805419
1782253200,1667.93,1668.37,1662.09,1662.65,422.73785907
1782253500,1662.65,1663.69,1661.83,1663.39,212.22163539
1782253800,1663.38,1664.43,1662.07,1662.45,112.50361088
1782254100,1662.42,1662.98,1661.1,1662.27,162.89601279
1782254400,1662.24,1662.56,1660.78,1661.51,267.8215305
1782254700,1661.42,1662.48,1661.2,1661.75,100.8507743
1782255000,1661.74,1662.53,1660.78,1661.36,74.71990701
1782255300,1661.34,1663.67,1661.34,1662.48,109.82530026
1782255600,1662.48,1662.48,1658.88,1660.47,270.06598982
1782255900,1660.47,1660.47,1657.81,1659.53,254.3798553
1782256200,1659.53,1661.61,1658.69,1659.27,230.73422409
1782256500,1659.3,1661.69,1659.3,1661.46,166.99303985
1782256800,1661.45,1662.55,1660.51,1662.4,190.45506536
1782257100,1662.56,1663.67,1661.84,1661.91,190.27181551
1782257400,1662.08,1662.8,1661.08,1662.33,55.42294374
1782257700,1662.5,1662.5,1659.83,1659.91,129.26793924
1782258000,1660.08,1661.47,1660.01,1660.5,138.39019816
1782258300,1660.47,1667.19,1660.25,1665.27,303.10823866
1782258600,1665.2,1665.97,1664.28,1664.53,65.8073142
1782258900,1664.48,1666.13,1664.32,1665.04,156.56024263
1782259200,1665.04,1668.0,1664.7,1665.66,110.64733009
1782259500,1665.53,1670.96,1664.84,1668.83,168.26226951
1782259800,1668.83,1669.53,1666.81,1669.2,174.9764929
1782260100,1669.17,1670.29,1667.61,1669.06,140.02825301
1782260400,1669.05,1669.05,1666.1,1666.56,123.45021785
1782260700,1666.56,1668.3,1665.6,1666.63,73.03125319
1782261000,1666.72,1667.3,1665.24,1667.03,89.6655398
1782261300,1667.03,1672.34,1667.03,1671.84,247.0070575
1782261600,1671.76,1671.76,1668.01,1668.42,160.23825353
1782261900,1668.4,1670.56,1666.64,1669.99,168.40090811
1782262200,1669.97,1671.28,1668.19,1668.88,108.72547553
1782262500,1668.96,1669.48,1667.34,1669.11,326.76463717
1782262800,1669.12,1669.57,1665.22,1665.68,190.41462962
1782263100,1665.45,1667.36,1664.16,1666.01,134.63139582
1782263400,1666.0,1670.34,1665.68,1670.21,99.25840567
1782263700,1670.1,1670.16,1663.85,1664.48,261.12037513
1782264000,1664.48,1670.79,1664.13,1669.22,206.66282458
1782264300,1669.24,1670.08,1667.37,1669.3,92.01769803
1782264600,1669.3,1678.21,1669.2,1676.39,465.0034263
1782264900,1676.16,1677.16,1674.15,1675.12,281.28350955
1782265200,1675.2,1675.83,1671.91,1672.42,282.61075729
1782265500,1672.48,1674.41,1672.41,1674.0,508.95109638
1782265800,1673.95,1675.16,1672.2,1673.91,261.3033647
1782266100,1673.91,1674.07,1670.0,1670.71,518.73351614
1782266400,1670.62,1671.68,1667.78,1668.0,182.5367214
1782266700,1667.92,1669.87,1666.61,1668.12,294.50076582
1782267000,1668.16,1669.95,1668.16,1669.71,59.43557252
1782267300,1669.69,1669.69,1665.76,1665.93,84.09113674
1782267600,1665.92,1666.47,1662.77,1663.17,238.78743017
1782267900,1663.19,1665.76,1663.15,1665.54,63.69564334
1782268200,1665.48,1666.35,1663.91,1664.12,144.36747277
1782268500,1664.24,1664.6,1661.23,1663.25,327.08557547
1782268800,1663.25,1667.36,1663.05,1665.63,118.68401088
1782269100,1665.73,1665.99,1663.52,1665.16,50.99749349
1782269400,1665.2,1665.91,1661.77,1661.77,131.99579368
1782269700,1661.77,1664.4,1661.41,1661.72,127.11024395
1782270000,1661.84,1663.56,1660.5,1661.8,189.10750344
1782270300,1661.84,1662.43,1660.01,1661.15,178.39145272
1782270600,1661.15,1662.54,1660.88,1661.63,233.29826422
1782270900,1661.52,1661.52,1655.76,1656.04,404.43040242
1782271200,1656.09,1660.0,1655.95,1659.23,168.51015423
1782271500,1659.23,1661.97,1659.13,1661.97,162.70189913
1782271800,1661.97,1664.53,1660.92,1663.75,335.78024225
1782272100,1663.75,1666.78,1663.57,1665.96,37.21387847
1782272400,1666.0,1667.0,1664.96,1665.97,136.96652732
1782272700,1666.16,1667.13,1665.5,1666.32,39.02515212
1782273000,1666.25,1667.84,1665.23,1665.97,256.40800007
1782273300,1665.77,1665.91,1663.84,1664.65,138.56307989
1782273600,1664.65,1665.27,1662.27,1662.72,125.42281025
1782273900,1662.58,1663.2,1661.73,1662.48,61.47519743
1782274200,1662.48,1663.19,1662.24,1662.71,56.92444563
1782274500,1662.72,1664.34,1660.73,1661.2,85.34987076
1782274800,1661.22,1661.22,1656.17,1656.29,133.03688302
1782275100,1656.31,1658.48,1656.09,1657.44,125.27870502
1782275400,1657.52,1663.19,1657.13,1662.1,254.92560566
1782275700,1662.02,1663.62,1661.0,1662.09,136.57785525
1782276000,1662.08,1663.16,1661.12,1662.43,86.14751032
1782276300,1662.42,1668.32,1662.42,1668.04,202.16428064
1782276600,1668.0,1668.75,1665.82,1666.61,179.69445504
1782276900,1666.61,1668.11,1666.1,1666.69,182.50490906
1782277200,1666.88,1669.2,1666.88,1667.46,96.78020926
1782277500,1667.48,1669.11,1665.62,1669.0,77.32297144
1782277800,1668.99,1669.6,1666.83,1667.3,84.97499338
1782278100,1667.36,1671.4,1667.13,1669.64,100.34548343
1782278400,1669.72,1670.74,1667.87,1670.06,145.56182617
1782278700,1670.07,1671.27,1669.91,1671.08,103.62767532
1782279000,1671.07,1672.64,1670.08,1670.69,102.72930094
1782279300,1670.79,1677.36,1670.79,1673.68,237.72279476
1782279600,1673.63,1675.3,1673.31,1673.49,120.07607939
1782279900,1673.5,1674.4,1672.15,1672.63,46.30241174
1782280200,1672.63,1672.63,1670.51,1670.89,93.35914931
1782280500,1670.93,1672.29,1670.89,1672.15,174.06663708
1782280800,1672.14,1672.48,1668.38,1668.54,225.93918117
1782281100,1668.41,1672.0,1668.38,1671.39,187.05923615
1782281400,1671.4,1672.85,1670.64,1671.39,29.3467113
1782281700,1671.3,1671.56,1670.33,1671.13,28.82532701
1782282000,1671.24,1672.26,1670.19,1672.02,15.46912986
1782282300,1672.01,1674.4,1671.73,1672.81,143.15365748
1782282600,1672.88,1673.6,1672.32,1673.6,43.65194216
1782282900,1673.65,1674.6,1673.12,1673.68,41.49699061
1782283200,1673.64,1674.05,1672.06,1672.08,37.70865117
1782283500,1672.06,1672.73,1670.49,1671.6,98.4174444
1782283800,1671.68,1674.04,1671.54,1672.57,74.64021149
1782284100,1672.57,1672.88,1671.97,1672.44,56.69804858
1782284400,1672.44,1673.82,1670.86,1673.82,259.62497177
1782284700,1673.84,1673.91,1670.56,1671.33,296.06774883
