time,open,high,low,close,volume
1782187200,30370.25,30370.25,30335.5,30353.5,5562.0
1782188100,30354.0,30354.5,30306.0,30330.0,14147.0
1782189000,30330.0,30330.25,30285.25,30295.75,12805.0
1782189900,30296.0,30304.75,30231.0,30241.25,18204.0
1782190800,30241.25,30268.75,30227.0,30231.0,16761.0
1782191700,30231.0,30243.25,30180.25,30187.0,18818.0
1782192600,30187.0,30189.75,30121.0,30162.0,30086.0
1782193500,30161.75,30169.75,30092.0,30107.75,22421.0
1782194400,30108.25,30134.25,30068.0,30086.75,27800.0
1782195300,30087.0,30109.25,30004.0,30022.0,31111.0
1782196200,30021.25,30054.5,29980.0,30004.5,29865.0
1782197100,30004.5,30038.5,29948.5,29969.25,23227.0
1782198000,29969.0,30054.25,29944.75,30046.75,26894.0
1782198900,30046.25,30052.0,29980.75,30010.25,19864.0
1782199800,30009.25,30009.5,29938.25,29951.25,23165.0
1782200700,29951.0,29970.25,29889.0,29908.0,25391.0
1782201600,29908.5,29919.5,29815.75,29853.25,34857.0
1782202500,29852.25,29859.5,29776.0,29800.0,29633.0
1782203400,29799.5,29878.25,29798.75,29853.5,24709.0
1782204300,29853.5,29854.75,29779.5,29828.5,20817.0
1782205200,29829.25,29910.0,29823.25,29900.75,22129.0
1782206100,29900.75,29933.25,29881.75,29917.0,16761.0
1782207000,29916.75,29918.75,29862.75,29863.5,13217.0
1782207900,29863.5,29894.5,29857.5,29886.0,11157.0
1782208800,29886.75,29916.75,29853.5,29863.5,13422.0
1782209700,29864.0,29881.25,29816.5,29824.75,14865.0
1782210600,29825.0,29826.0,29750.5,29780.5,24392.0
1782211500,29780.75,29824.75,29779.25,29817.75,16859.0
1782212400,29817.75,29852.0,29787.75,29848.5,21242.0
1782213300,29848.0,29869.0,29805.5,29813.25,20014.0
1782214200,29811.75,29873.5,29801.5,29868.75,18263.0
1782215100,29867.75,29885.75,29848.0,29872.25,16754.0
1782216000,29872.25,29901.0,29813.25,29822.5,21075.0
1782216900,29821.5,29826.75,29744.5,29776.25,26605.0
1782217800,29776.25,29793.25,29707.5,29740.0,35021.0
1782218700,29739.25,29764.5,29717.0,29734.75,23460.0
1782219600,29734.25,29746.0,29691.25,29735.25,31383.0
1782220500,29735.25,29754.75,29676.0,29719.25,48750.0
1782221400,29718.75,29805.75,29616.5,29759.25,205434.0
1782222300,29754.25,29934.0,29719.75,29925.75,177415.0
1782223200,29925.75,30016.0,29921.0,30002.25,166003.0
1782224100,30002.25,30046.75,29940.75,29983.25,143583.0
1782225000,29982.5,30000.0,29872.5,29884.5,157740.0
