time,open,high,low,close,volume
1782241800,62259.68,62321.26,62225.4,62283.28,25.62033996
1782242100,62283.28,62284.22,62216.2,62216.21,19.94987437
1782242400,62216.2,62290.96,62165.35,62236.04,23.55285619
1782242700,62236.04,62362.4,62216.2,62355.99,16.28449447
1782243000,62356.81,62398.25,62310.04,62322.21,45.24111238
1782243300,62322.2,62333.3,62246.35,62276.02,14.53880106
1782243600,62276.02,62292.04,62217.83,62219.55,17.8444352
1782243900,62219.55,62232.19,62188.43,62219.54,14.41353374
1782244200,62219.54,62338.88,62210.82,62323.4,28.88473048
1782244500,62323.4,62344.49,62262.0,62310.83,51.47251454
1782244800,62311.32,62454.03,62309.67,62367.01,30.3405517
1782245100,62367.01,62427.99,62365.12,62415.97,7.87236512
1782245400,62415.97,62426.37,62346.96,62360.24,11.94506522
1782245700,62360.24,62396.54,62325.0,62385.62,9.15092637
1782246000,62385.62,62409.28,62347.0,62370.0,11.45511189
1782246300,62369.99,62435.0,62334.78,62405.0,10.15138505
1782246600,62405.29,62409.49,62369.71,62389.56,8.45155494
1782246900,62389.57,62413.82,62369.11,62411.1,9.75951614
1782247200,62411.11,62411.11,62380.17,62395.36,7.11422063
1782247500,62395.37,62395.37,62343.51,62350.8,8.64650111
1782247800,62350.81,62387.0,62300.0,62325.0,9.77877573
1782248100,62325.01,62395.99,62325.0,62388.98,10.24577126
1782248400,62388.98,62536.93,62388.98,62480.85,45.23325504
1782248700,62480.85,62506.12,62438.75,62446.51,11.33888074
1782249000,62446.51,62451.99,62403.98,62431.2,17.03416534
1782249300,62431.21,62466.9,62392.0,62404.5,10.92480213
1782249600,62404.5,62450.0,62399.13,62448.9,10.64796682
1782249900,62448.9,62490.9,62438.36,62490.89,9.43531008
1782250200,62490.89,62500.5,62470.01,62477.38,8.02139815
1782250500,62477.38,62499.0,62462.71,62496.25,9.52848361
1782250800,62496.25,62559.47,62484.2,62541.48,27.85587452
1782251100,62541.48,62580.71,62540.86,62544.5,8.82772097
1782251400,62544.5,62580.71,62503.28,62517.73,14.49138249
1782251700,62517.73,62537.8,62498.75,62515.05,11.96434756
1782252000,62515.06,62591.4,62506.0,62572.86,23.40487639
1782252300,62572.9,62656.5,62557.9,62641.52,14.08814279
1782252600,62641.52,62693.13,62622.69,62661.75,23.6131146
1782252900,62661.75,62699.99,62626.25,62635.06,13.82741382
1782253200,62635.07,62654.31,62464.96,62506.67,26.93278426
1782253500,62506.67,62542.19,62484.2,62530.18,9.98227158
1782253800,62530.18,62548.14,62481.31,62488.9,14.68720283
1782254100,62488.88,62512.99,62450.7,62485.41,10.94672947
1782254400,62486.68,62504.24,62464.1,62464.11,11.15223212
1782254700,62464.11,62503.68,62458.0,62466.38,7.28213774
1782255000,62466.37,62489.0,62436.24,62480.98,11.36590696
1782255300,62480.98,62542.0,62476.0,62509.96,9.22685022
1782255600,62509.96,62534.45,62413.85,62485.37,19.91965106
1782255900,62485.37,62485.76,62416.5,62435.38,10.09964751
1782256200,62435.38,62496.86,62431.06,62439.0,12.55702717
1782256500,62439.0,62511.39,62439.0,62499.4,16.20559979
1782256800,62499.4,62571.19,62472.61,62571.18,8.79273034
1782257100,62571.18,62604.79,62556.0,62584.35,7.86907301
1782257400,62584.35,62598.47,62554.02,62581.36,9.84867917
1782257700,62581.35,62596.25,62510.98,62510.98,11.86137245
1782258000,62511.96,62549.25,62511.96,62536.83,5.1451548
1782258300,62536.83,62715.35,62531.1,62649.07,12.7552626
1782258600,62649.05,62673.39,62628.26,62634.01,5.72969034
1782258900,62634.02,62666.05,62634.01,62644.86,5.2849508
1782259200,62644.86,62719.17,62644.86,62671.81,11.91151061
1782259500,62671.8,62843.17,62645.03,62772.31,21.37746355
1782259800,62772.3,62823.99,62725.0,62810.69,22.19551614
1782260100,62810.7,62849.09,62762.25,62824.73,16.8563274
1782260400,62824.73,62824.73,62738.8,62762.25,10.0035442
1782260700,62762.25,62811.0,62732.1,62771.99,12.87762866
1782261000,62771.98,62787.0,62699.0,62774.76,68.75399441
1782261300,62774.76,62946.54,62774.76,62942.28,100.03982175
1782261600,62942.28,62946.01,62872.8,62878.97,23.50576285
1782261900,62878.97,62916.35,62826.0,62911.99,6.18613347
1782262200,62911.98,62946.49,62882.33,62901.99,10.59381514
1782262500,62902.94,62933.09,62856.0,62933.09,10.11029035
1782262800,62933.1,62947.77,62822.01,62835.95,11.1527587
1782263100,62829.26,62862.75,62766.71,62849.34,18.02357382
1782263400,62849.34,62916.34,62835.95,62898.52,17.01078467
1782263700,62898.53,62898.54,62682.86,62717.39,67.33799052
1782264000,62717.4,62856.04,62705.3,62817.98,8.9937214
1782264300,62817.97,62858.45,62800.0,62830.78,11.81137353
1782264600,62830.79,63040.99,62830.78,62997.26,21.98436063
1782264900,62994.02,63034.99,62956.55,62969.94,17.46301707
1782265200,62969.94,62973.3,62842.66,62869.97,4.79648842
1782265500,62866.02,62919.31,62859.4,62882.84,5.67924286
1782265800,62882.85,62954.0,62873.31,62928.01,7.29696832
1782266100,62928.01,62935.18,62846.0,62849.39,7.97772093
1782266400,62849.39,62930.22,62775.66,62782.86,11.50576791
1782266700,62782.86,62817.62,62732.1,62794.51,13.40030207
1782267000,62794.51,62819.2,62768.95,62795.74,9.78307976
1782267300,62795.73,62795.74,62691.9,62691.9,5.38483005
1782267600,62691.9,62691.9,62598.23,62618.24,20.43344845
1782267900,62618.24,62700.65,62618.24,62681.7,9.42923061
1782268200,62681.71,62702.46,62624.9,62644.99,6.4917345
1782268500,62644.99,62644.99,62522.17,62574.69,16.64522031
1782268800,62574.69,62720.18,62568.63,62641.65,15.7586934
1782269100,62641.65,62671.79,62608.58,62671.79,9.19157055
1782269400,62671.79,62688.55,62519.14,62521.53,33.88368407
1782269700,62521.53,62629.27,62521.53,62546.33,30.99172169
1782270000,62544.96,62600.12,62512.5,62554.66,17.11564721
1782270300,62554.66,62581.35,62484.2,62526.84,16.77443424
1782270600,62526.84,62588.58,62505.34,62511.76,24.54223396
1782270900,62511.76,62511.76,62374.5,62383.5,37.43544445
1782271200,62383.5,62490.9,62383.5,62477.27,8.58748848
1782271500,62477.27,62591.36,62477.27,62586.17,6.47719574
1782271800,62586.17,62689.75,62586.17,62661.74,11.00957263
1782272100,62661.74,62750.32,62661.74,62732.1,4.40040831
1782272400,62732.09,62742.15,62715.35,62717.73,3.93860208
1782272700,62717.74,62745.5,62691.9,62691.9,3.14862233
1782273000,62691.9,62715.03,62665.52,62672.62,2.35422051
1782273300,62673.3,62673.44,62641.61,62649.71,5.53065047
1782273600,62649.71,62670.0,62543.6,62567.71,13.42683604
1782273900,62567.71,62588.2,62544.19,62555.05,5.35202349
1782274200,62555.12,62593.67,62555.12,62578.37,3.65293861
1782274500,62578.38,62612.61,62531.11,62552.54,9.81643053
1782274800,62552.92,62564.61,62437.68,62444.46,5.98051644
1782275100,62444.46,62529.55,62442.04,62504.19,3.29413804
1782275400,62504.19,62661.74,62504.19,62603.5,17.48229738
1782275700,62603.5,62618.0,62574.65,62574.65,47.60879337
1782276000,62574.65,62588.0,62557.9,62567.81,6.34481685
1782276300,62567.82,62700.0,62567.81,62688.92,6.87263439
1782276600,62691.09,62711.99,62643.62,62666.39,10.93177919
1782276900,62666.39,62700.0,62650.0,62661.75,7.3024013
1782277200,62661.75,62725.0,62654.01,62679.13,4.28818511
1782277500,62679.13,62740.0,62620.0,62739.31,7.37670968
1782277800,62739.31,62760.85,62680.57,62701.95,5.77974482
1782278100,62701.94,62789.04,62691.9,62752.2,3.62086312
1782278400,62752.2,62778.99,62640.7,62777.94,126.25122033
1782278700,62777.94,62805.09,62758.9,62792.41,9.47518327
1782279000,62792.4,62825.89,62771.86,62805.81,11.85215496
1782279300,62805.8,62982.01,62805.8,62877.09,42.02558635
1782279600,62877.1,62902.95,62825.91,62842.66,12.0978076
1782279900,62842.65,62876.14,62812.74,62834.67,7.57429973
1782280200,62833.31,62833.32,62775.65,62797.99,4.55915001
1782280500,62797.98,62805.79,62779.39,62802.0,3.78534947
1782280800,62801.99,62815.85,62680.9,62683.53,10.62733061
1782281100,62683.54,62782.35,62683.53,62762.24,6.20909422
1782281400,62762.24,62794.0,62728.75,62751.08,4.43686783
1782281700,62751.08,62764.99,62700.0,62720.58,5.74548138
1782282000,62720.57,62772.26,62705.31,62752.19,6.79529397
1782282300,62752.2,62825.9,62700.0,62762.25,66.14152341
1782282600,62763.6,62769.89,62721.6,62753.59,11.17709543
1782282900,62753.59,62792.25,62745.51,62758.9,6.92670155
1782283200,62758.9,62768.23,62698.61,62698.61,3.28977201
